ID,SMILES,Name,HOMO,LUMO,Voc (V),Jsc (mA cm^2),FF,PCE(%),ref
1,CCCCCC(CC1=NC2=C(C(F)=C(C(C3=CC=C(S3)C4=CC5=C(C(C6=CC(F)=C(S6)CC(CCCC)CC)=C7C=CSC7=C5C8=CC(F)=C(S8)CC(CCCC)CC)S4)=C2N=C1CC(CCCCC)CC)F)C9=CC=CS9)CC,PBQ5,5.55,2.91,0.844,26.02,70.81,15.55,"C. Zhu, L. Meng, J. Zhang, S. Qin, W. Lai, B. Qiu, J. Yuan, Y. Wan, W. Huang, Y. Li, A Quinoxaline-Based D每A Copolymer Donor Achieving 17.62% Efficiency of Organic Solar Cells. Advanced Materials. 33, 2100474 (2021)."
2,CCCCC(CC1=C(C=C(S1)C2=NC3=C(C(F)=C(C(C4=CC=CS4)=C3N=C2C5=CC(F)=C(S5)CC(CCC)CC)F)C6=CC=C(S6)C7=CC8=C(C(C9=CC(F)=C(S9)CC(CCCC)CC)=C%10C=CSC%10=C8C%11=CC(F)=C(S%11)CC(CCCC)CC)S7)F)CC,PBQ6,5.64,3.18,0.851,26.58,77.91,17.62,"C. Zhu, L. Meng, J. Zhang, S. Qin, W. Lai, B. Qiu, J. Yuan, Y. Wan, W. Huang, Y. Li, A Quinoxaline-Based D每A Copolymer Donor Achieving 17.62% Efficiency of Organic Solar Cells. Advanced Materials. 33, 2100474 (2021)."
3,CCCCCCCCCCC1=C(SC(C2=C3SC4=C(C3=C(C5=C2C6=C(S5)C=CS6)C7=CC(CCCCCCCCCC)=C(S7)CCCCCCCCCC)SC(C8=C(C=C(S8)C9=C(C(F)=CC%10=NSN=C%109)F)CC(CCCC)CC)=C4)=C1)CCCCCCCCCC,PDTBDT-SBTEH,5.24,3.55,0.82,13.76,63.5,7.16,"P. Gong, P. Guo, Y. Wang, L. Yan, Z. Liang, M. Ding, J. Tong, J. Li, Y. Xia, Ultrafast Kinetics Investigation of a Fluorinated-Benzothiadiazole Polymer with an Increased Excited State Transition Dipole Moment Applied in Organic Solar Cells. ACS Appl. Energy Mater. 4, 9627每9638 (2021)."
4,CCCCCCCCCCC1=C(SC(C2=C3SC4=C(C3=C(C5=C2C6=C(S5)C=CS6)C7=CC(CCCCCCCCCC)=C(S7)CCCCCCCCCC)SC(C8=C(C=C(S8)C9=C(C(F)=CC%10=NSN=C%109)F)CC(CCCC)CC)=C4)=C1)CCCCCCCCCC,PDTBDT-SFBTEH,5.43,3.67,0.94,13.81,66.3,8.61,"P. Gong, P. Guo, Y. Wang, L. Yan, Z. Liang, M. Ding, J. Tong, J. Li, Y. Xia, Ultrafast Kinetics Investigation of a Fluorinated-Benzothiadiazole Polymer with an Increased Excited State Transition Dipole Moment Applied in Organic Solar Cells. ACS Appl. Energy Mater. 4, 9627每9638 (2021)."
5,CCCCC(CC1=CC=C(S1)C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC=C(S5)CC(CCCC)CC)C6=C(C(Cl)=CS6)Cl)CC,PBDTT1Cl,-5.47,-3.48,0.87,27.7,71.35,17.1,"H. Wang, H. Lu, Y.-N. Chen, G. Ran, A. Zhang, D. Li, N. Yu, Z. Zhang, Y. Liu, X. Xu, W. Zhang, Q. Bao, Z. Tang, Z. Bo, Chlorination Enabling a Low-Cost Benzodithiophene-Based Wide-Bandgap Donor Polymer with an Efficiency of over 17%. Advanced Materials. n/a, 2105483."
6,CCCCC(CC1=CC=C(S1)C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC=C(S5)CC(CCCC)CC)C6=C(C(Cl)=CS6)Cl)CC,PBDTT2Cl,-5.6,-3.49,0.9,21.86,58.6,11.47,"H. Wang, H. Lu, Y.-N. Chen, G. Ran, A. Zhang, D. Li, N. Yu, Z. Zhang, Y. Liu, X. Xu, W. Zhang, Q. Bao, Z. Tang, Z. Bo, Chlorination Enabling a Low-Cost Benzodithiophene-Based Wide-Bandgap Donor Polymer with an Efficiency of over 17%. Advanced Materials. n/a, 2105483."
7,CCCCCCC(CC1=C2C(C3=C(SC(C4=CC=C(S4)C5=CC6=C(C7=C(C(C8=CC(F)=C(S8)SCC(CCCC)CC)=C6S5)C=C(S7)C)C9=CC(F)=C(S9)SCC(CCCC)CC)=C3C(C2=C(S1)CC(CCCCCC)CCCC)=O)C%10=CC=CS%10)=O)CCCC,PBSF-A12,-5.52,-3.65,0.92,17.5,68.2,10.9,"K. Wang, W. Li, X. Guo, Q. Zhu, Q. Fan, Q. Guo, W. Ma, M. Zhang, Optimizing the Alkyl Side-Chain Design of a Wide Band-Gap Polymer Donor for Attaining Nonfullerene Organic Solar Cells with High Efficiency Using a Nonhalogenated Solvent. Chem. Mater. 33, 5981每5990 (2021)."
8,CCCCCCC(CSC1=C(C=C(S1)C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC(F)=C(S5)SCC(CCCCCC)CCCC)C6=CC=C(S6)C7=C8C(C9=C(SC(CC(CCCC)CC)=C9C(C8=C(S7)C%10=CC=CS%10)=O)CC(CCCC)CC)=O)F)CCCC,PBSF-D12,-5.5,-3.59,0.92,20.5,70.8,13.4,"K. Wang, W. Li, X. Guo, Q. Zhu, Q. Fan, Q. Guo, W. Ma, M. Zhang, Optimizing the Alkyl Side-Chain Design of a Wide Band-Gap Polymer Donor for Attaining Nonfullerene Organic Solar Cells with High Efficiency Using a Nonhalogenated Solvent. Chem. Mater. 33, 5981每5990 (2021)."
9,CCCCCCCCC(CN1B(C2=C(C3=CC4=C(C5=C(B(N4CC(CCCCCCCC)CCCCCC)C6=CC=CC=C6)C=CS5)C=C31)SC(C7=CC=C(S7)C8=C9C(C%10=C(SC(CC(CCCC)CC)=C%10C(C9=C(S8)C%11=CC=CS%11)=O)CC(CCCC)CC)=O)=C2)C%12=CC=CC=C%12)CCCCCC,PBNT-BDD,,,0.88,25.2,72,16.1,"S. Pang, Z. Wang, X. Yuan, L. Pan, W. Deng, H. Tang, H. Wu, S. Chen, C. Duan, F. Huang, Y. Cao, A Facile Synthesized Polymer Featuring B-N Covalent Bond and Small Singlet-Triplet Gap for High-Performance Organic Solar Cells. Angewandte Chemie International Edition. 60, 8813每8817 (2021)."
10,CCCCCCCCC(CN1C(C2=C(C3=C(C1=O)C=C(S3)C4=CC5=C(C6=C(C7=C(C(C8=CC=C(S8)CC(CCCC)CC)=C6S5)C9=C(S7)C=CS9)C%10=CC=C(S%10)CC(CCCC)CC)S4)SC=C2)=O)CCCCCC,PDTBDT,-5.67,-3.28,0.895,17.18,53.5,8.22,"Y. Tang, L. Xie, D. Qiu, C. Yang, Y. Liu, Y. Shi, Z. Huang, J. Zhang, J. Hu, K. Lu, Z. Wei, Optimizing the energy levels and crystallinity of 2,2∩-bithiophene-3,3∩-dicarboximide-based polymer donors for high-performance non-fullerene organic solar cells. J. Mater. Chem. C. 9, 7575每7582 (2021)."
11,CCCCCCCCC1=CSC(C2=CC3=C(S2)C2=C(C=C(C4=CC(CCCCCCCC)=C(C5=CC6=C(S5)C5=C(C7=CC=C(CC(CC)CCCC)S7)C7=C(C8=C(C=CS8)S7)C(C7=CC=C(CC(CC)CCCC)S7)=C5S6)S4)S2)C(=O)N(CC(CCCCCC)CCCCCCCC)C3=O)=C1,PDTBDT-T,-5.4,-3.21,0.78,24.21,65.81,12.71,"Y. Tang, L. Xie, D. Qiu, C. Yang, Y. Liu, Y. Shi, Z. Huang, J. Zhang, J. Hu, K. Lu, Z. Wei, Optimizing the energy levels and crystallinity of 2,2∩-bithiophene-3,3∩-dicarboximide-based polymer donors for high-performance non-fullerene organic solar cells. J. Mater. Chem. C. 9, 7575每7582 (2021)."
12,CCCCCCCCC1=CSC(C2=CC3=C(S2)C2=C(C=C(C4=CC(CCCCCCCC)=C(C5=CC6=C(S5)C5=C(C7=CC(Cl)=C(CC(CC)CCCC)S7)C7=C(C8=C(C=CS8)S7)C(C7=CC(Cl)=C(CC(CC)CCCC)S7)=C5S6)S4)S2)C(=O)N(CC(CCCCCC)CCCCCCCC)C3=O)=C1,PDTBDT-T-Cl,-5.58,-3.26,0.86,24.46,71.65,15.63,"Y. Tang, L. Xie, D. Qiu, C. Yang, Y. Liu, Y. Shi, Z. Huang, J. Zhang, J. Hu, K. Lu, Z. Wei, Optimizing the energy levels and crystallinity of 2,2∩-bithiophene-3,3∩-dicarboximide-based polymer donors for high-performance non-fullerene organic solar cells. J. Mater. Chem. C. 9, 7575每7582 (2021)."
13,CCCCCCC(COC(C1=C(SC=C1)/C=C/C2=C(C=C(S2)C3=CC=C(S3)C4=C5C(C6=C(SC(CC(CCCC)CC)=C6C(C5=C(S4)C7=CC=CS7)=O)CC(CCCC)CC)=O)C(OCC(CCCCCC)CCCC)=O)=O)CCCC,PV2TC-BDD,-5.5,-3.74,0.87,18.83,69.97,11.5,"Z. Liu, X. Chen, S. Huang, H. Guo, F. Wu, J. Wang, J. Liu, X. Huang, L. Chen, Y. Chen, Novel efficient accptor1-acceptor2 type copolymer donors: Vinyl induced planar geometry and high performance organic solar cells. Chemical Engineering Journal. 419, 129532 (2021)."
14,CCCCCCCCC(CCCCCC)CN1N=C2C(=N1)C(C1=CC=C(C3=CC(C(=O)OCC(CCCC)CCCCCC)=C(/C=C/C4=C(C(=O)OCC(CCCC)CCCCCC)C=CS4)S3)S1)=C(F)C(F)=C2C1=CC=C(C)S1,PV2TC-FTAZ,-5.35,-3.56,0.71,20.49,58.57,8.56,"Z. Liu, X. Chen, S. Huang, H. Guo, F. Wu, J. Wang, J. Liu, X. Huang, L. Chen, Y. Chen, Novel efficient accptor1-acceptor2 type copolymer donors: Vinyl induced planar geometry and high performance organic solar cells. Chemical Engineering Journal. 419, 129532 (2021)."
15,CCCCCCC(CC1=CC2=C(C(C3=CC=C(S3)C4=CC5=C(C6=C(C(C7=CC(Cl)=C(S7)CC(CCCC)CC)=C5S4)C=CS6)C8=CC(Cl)=C(S8)CC(CCCC)CC)=C9C=C(SC9=C2C%10=CC=CS%10)CC(CCCCCC)CCCC)S1)CCCC,PvBDT-Cl,-4.4,-2.24,0.9,15.04,57.3,7.76,"M. Zhang, X. Xu, L. Yu, Q. Peng, Efficient wide-band-gap copolymer donors for organic solar cells with perpendicularly placed benzodithiophene units. Journal of Power Sources. 499, 229961 (2021)."
